category,file,pexels_id,title,photographer,source_url,license_url,width,height,sha256
living_room,living_room/living_01_pexels_7534559.jpg,7534559,Interior of modern living room in daytime,Max Vakhtbovych,https://www.pexels.com/photo/interior-of-modern-living-room-in-daytime-7534559/,https://www.pexels.com/license/,1920,1281,0852eea852982c1ff1f794e3f16825e45914d82567db16a2f68c11b21c413cbe
living_room,living_room/living_02_pexels_10161225.jpg,10161225,Modern living room,Yura Forrat,https://www.pexels.com/photo/modern-living-room-10161225/,https://www.pexels.com/license/,1920,1292,c45d0716c57452f13426238fbe41b9fefac3829826de8a42afe67a251a0f0f1d
living_room,living_room/living_03_pexels_6186821.jpg,6186821,Bright living room interior in modern apartment,Max Vakhtbovych,https://www.pexels.com/photo/bright-living-room-interior-in-modern-apartment-6186821/,https://www.pexels.com/license/,1920,1281,0571a9a7d9c7f9ad6993e80ac528aef8e0c00786834e7eb63e05c2d708b60fe7
living_room,living_room/living_04_pexels_7511701.jpg,7511701,Interior design of a cozy living room,Max Vakhtbovych,https://www.pexels.com/photo/interior-design-of-a-cozy-living-room-7511701/,https://www.pexels.com/license/,1920,1281,981da092b8981d133da478572eff7cabd4a31640601ec4b3c048e4d975a9ef81
living_room,living_room/living_05_pexels_6890390.jpg,6890390,White couch in decorated room,Max Vakhtbovych,https://www.pexels.com/photo/white-couch-in-decorated-room-6890390/,https://www.pexels.com/license/,1920,1281,a43d12de1fb9f68ae60ca17c58bc168d1ae3b7b62c39f72255b65bc1b5919b4e
living_room,living_room/living_06_pexels_6758512.jpg,6758512,Modern interior of spacious lounge in daytime,Max Vakhtbovych,https://www.pexels.com/photo/modern-interior-of-spacious-lounge-in-daytime-6758512/,https://www.pexels.com/license/,1920,1281,004035e64d576a2c5ee662215000e3e3a624d1c5508608797cce1372002f9eaa
bedroom,bedroom/bedroom_01_pexels_6510419.jpg,6510419,Minimalist interior of cozy bedroom in daylight,Lachlan Ross,https://www.pexels.com/photo/minimalist-interior-of-cozy-bedroom-in-daylight-6510419/,https://www.pexels.com/license/,1920,1280,f17b12b1170dfa363bab514ecc307af236ec20030c1c232c9894c385e72ef571
bedroom,bedroom/bedroom_02_pexels_7031710.jpg,7031710,Comfortable bed in minimalist bedroom in daylight,Max Vakhtbovych,https://www.pexels.com/photo/comfortable-bed-in-minimalist-bedroom-in-daylight-7031710/,https://www.pexels.com/license/,1920,1281,db98b5bec23d4121df9011bc1b0a3e54d535c0640ede710fcafe695d88f1a6b1
bedroom,bedroom/bedroom_03_pexels_6121088.jpg,6121088,Modern interior of bedroom with dressing table and large window,Max Vakhtbovych,https://www.pexels.com/photo/modern-interior-of-bedroom-with-dressing-table-and-large-window-6121088/,https://www.pexels.com/license/,1920,1561,a27716ec327822dd60a07556465058f39d2f1bcd5c06c0d3bc4372a554bf7561
bedroom,bedroom/bedroom_04_pexels_6510417.jpg,6510417,Bedroom interior with wooden furniture in daylight,Lachlan Ross,https://www.pexels.com/photo/bedroom-interior-with-wooden-furniture-in-daylight-6510417/,https://www.pexels.com/license/,1920,1280,e70fcda6b93b51f24e9bb98abdd59fbf69610d5d325e2d7b5e2217dac20997fe
bedroom,bedroom/bedroom_05_pexels_7546559.jpg,7546559,Bedroom interior,Max Vakhtbovych,https://www.pexels.com/photo/bedroom-interior-7546559/,https://www.pexels.com/license/,1920,1281,192ffc0a3a8775f91e15424a0e16b5d0e55478fc3e857952193985099e1189fb
bedroom,bedroom/bedroom_06_pexels_3933240.jpg,3933240,Cozy bedroom interior with no people,Tatiana Syrikova,https://www.pexels.com/photo/cozy-bedroom-interior-with-no-people-3933240/,https://www.pexels.com/license/,1920,2880,fbf306965c572a4dfa1fdaa796758ab1d88c40924465a9d6114087bb84363bbf
study,study/study_01_pexels_19227252.jpg,19227252,Interior of a contemporary study room,Curtis Adams,https://www.pexels.com/photo/interior-of-a-contemporary-study-room-19227252/,https://www.pexels.com/license/,1920,1280,ba882904203f1a26ce440aa6ddde5dc07f11d05ee6ceab8a7c717115cce32887
study,study/study_02_pexels_7535030.jpg,7535030,Interior of room with computer,Max Vakhtbovych,https://www.pexels.com/photo/interior-of-room-with-computer-7535030/,https://www.pexels.com/license/,1920,1280,af88246f36510bb921e3095efeb7433f354c228fe14dc8c6f43c609b55eb9c04
study,study/study_03_pexels_4307570.jpg,4307570,An interior of a home office,Curtis Adams,https://www.pexels.com/photo/an-interior-of-a-home-office-4307570/,https://www.pexels.com/license/,1920,1280,b560dd9c8665d2f5bf45d991c413ed4acc11134861f03886d404333a945f4697
study,study/study_04_pexels_5511088.jpg,5511088,Desk and chair in front of window,Mike van Schoonderwalt,https://www.pexels.com/photo/desk-and-chair-in-front-of-window-5511088/,https://www.pexels.com/license/,1920,1280,abf730466246de3fe6e635fd8fb07632e7ce7ecc62224bb003aa6fae9e2cd4cc
study,study/study_05_pexels_30843044.jpg,30843044,Cozy home office with natural light and decor,Kate Filatova,https://www.pexels.com/photo/cozy-home-office-with-natural-light-and-decor-30843044/,https://www.pexels.com/license/,1920,3413,d2a5a5814b32ea2bed8bff02ef1c05216f74c11901cb87c11df9144fa8b60923
study,study/study_06_pexels_32177387.jpg,32177387,Bright home office with natural light and vintage desk,FLORIDA PLANTATION SHUTTERS,https://www.pexels.com/photo/bright-home-office-with-natural-light-and-vintage-desk-32177387/,https://www.pexels.com/license/,1920,1440,694b7e52caa99334c284247676b97388bba18bd6477b8e69ad30d7a5d93d1a47
hallway,hallway/hallway_01_pexels_6903159.jpg,6903159,Corridor of modern apartment with doors and mirror,Max Vakhtbovych,https://www.pexels.com/photo/corridor-of-modern-apartment-with-doors-and-mirror-6903159/,https://www.pexels.com/license/,1920,1282,340132fa99d3ea7f433b36d23c776456df487d6996c898b1e5a5455c27edb672
hallway,hallway/hallway_02_pexels_6580384.jpg,6580384,Modern interior of a hallway,Max Vakhtbovych,https://www.pexels.com/photo/modern-interior-of-a-hallway-6580384/,https://www.pexels.com/license/,1920,2877,eb184ed7279a4678de8e9437a2206ed60c79d7d2111e178943f388e190117405
hallway,hallway/hallway_03_pexels_6489085.jpg,6489085,Empty modern apartment room and corridor,Max Vakhtbovych,https://www.pexels.com/photo/empty-modern-apartment-room-and-corridor-6489085/,https://www.pexels.com/license/,1920,1310,d541e9e7e4ff8faef3908c6fc015ba4c7d167b0d434cc13862427c38998a70ba
hallway,hallway/hallway_04_pexels_7018386.jpg,7018386,Corridor interior in stylish modern apartment,Max Vakhtbovych,https://www.pexels.com/photo/corridor-interior-in-stylish-modern-apartment-7018386/,https://www.pexels.com/license/,1920,1282,d31fd946e0c0818b5215cba1239e76ec70f7ab4def8f2d90aeef7ec64a9b6b8b
hallway,hallway/hallway_05_pexels_15210509.jpg,15210509,Empty corridor with white walls,THE JD Darshan Solanki,https://www.pexels.com/photo/empty-corridor-with-white-walls-15210509/,https://www.pexels.com/license/,1920,2401,d3eecfdf9e18cd4f37e7e7e5077644c0c6fda0471147793dd81ede44d69701fb
hallway,hallway/hallway_06_pexels_12709863.jpg,12709863,White and gray building,Sami Abdullah,https://www.pexels.com/photo/white-and-gray-building-12709863/,https://www.pexels.com/license/,1920,3413,9e6314d72cb0ae2f7670f8b828b20424a787c7dd50f377ae1e4d45c69d364686
