reviewer_id,reviewer_background,sample_alias,task_id,task_title,display_order,source_image,result_image,recommendation_text,need_match_score,spatial_specificity_score,parameter_clarity_score,lighting_plausibility_score,text_image_consistency_score,image_realism_score,space_preservation_score,overall_score,confidence_score,major_problem,comments
,,S01,T03,客厅：舒适休闲与层次,1,analysis/approach-comparison/inputs/T03-living-room.jpg,analysis/approach-comparison/blind-review/images/S01.png,暖白至柔和中性暖白；适度提高沙发活动区环境亮度，压低过亮灯带与暗背景的反差。；以现有层板灯形成连续纵深节奏，通过柔和反射少量照亮沙发。；限制灯带亮边与过曝，减少柜体反光。；沙发区环境光与柜体层板灯分路调光，并设置低亮度休闲场景。,,,,,,,,,,,
,,S02,T01,书房：专注与视觉舒适,2,analysis/approach-comparison/inputs/T01-study.jpg,analysis/approach-comparison/blind-review/images/S02.png,中性偏暖白光；提高桌面任务光，并适度抬升电脑后方和深蓝墙环境亮度；桌面保持最亮但缩小亮度落差。；现有左侧台灯覆盖键盘、书本与主要工作面，背景保持柔和低一级亮度。；压低灯罩高光和桌面反射，避免屏幕眩光。；专注场景联动主要任务光与低至中等强度背景补光。,,,,,,,,,,,
,,S03,T01,书房：专注与视觉舒适,3,analysis/approach-comparison/inputs/T01-study.jpg,analysis/approach-comparison/blind-review/images/S03.png,中性偏暖白光，避免冷蓝压迫感；提高桌面与键盘区域可见度，同时保留背景较低亮度。；保留台灯作为任务光，补充柔和环境光形成两层照明。；限制灯罩高光与屏幕反射，避免裸露强光源。；工作模式一键联动任务光与低亮环境光。,,,,,,,,,,,
,,S04,T02,卧室：睡前放松,4,analysis/approach-comparison/inputs/T02-bedroom.jpg,analysis/approach-comparison/blind-review/images/S04.png,低色温暖光；维持低亮度，适度提高床面、床沿和近处背景的最低可见度。；床头灯形成柔和宽缓照明，通过自然反射提供微弱填充，背景暗而保留细节。；降低灯罩高光，保持柔和过渡，避免床品亮斑。；睡前场景以床头灯低至中低亮度为主，保留进一步渐暗余量。,,,,,,,,,,,
,,S05,T03,客厅：舒适休闲与层次,5,analysis/approach-comparison/inputs/T03-living-room.jpg,analysis/approach-comparison/blind-review/images/S05.png,暖中性色温；在不过曝的前提下略抬升沙发活动区亮度。；保留柜体层次光，增加柔和环境光并维持明暗层次。；避免柜体灯带出现刺眼亮线或大面积高光。；休闲模式联动柜体、环境与局部重点照明。,,,,,,,,,,,
,,S06,T01,书房：专注与视觉舒适,6,analysis/approach-comparison/inputs/T01-study.jpg,analysis/approach-comparison/blind-review/images/S06.png,中性偏暖白光；提高桌面任务光，并适度抬升电脑后方和深蓝墙环境亮度；桌面保持最亮但缩小亮度落差。；现有左侧台灯覆盖键盘、书本与主要工作面，背景保持柔和低一级亮度。；压低灯罩高光和桌面反射，避免屏幕眩光。；专注场景联动主要任务光与低至中等强度背景补光。,,,,,,,,,,,
,,S07,T02,卧室：睡前放松,7,analysis/approach-comparison/inputs/T02-bedroom.jpg,analysis/approach-comparison/blind-review/images/S07.png,低色温暖光；保持低照度，只适度抬升床侧与行走区域可见度。；以床头漫射光和低位间接光为主，不增加顶面强光。；光源不直视，控制枕部和床面高光。；设置睡前渐暗情景，支持低亮夜间模式。,,,,,,,,,,,
,,S08,T02,卧室：睡前放松,8,analysis/approach-comparison/inputs/T02-bedroom.jpg,analysis/approach-comparison/blind-review/images/S08.png,低色温暖光；维持低亮度，适度提高床面、床沿和近处背景的最低可见度。；床头灯形成柔和宽缓照明，通过自然反射提供微弱填充，背景暗而保留细节。；降低灯罩高光，保持柔和过渡，避免床品亮斑。；睡前场景以床头灯低至中低亮度为主，保留进一步渐暗余量。,,,,,,,,,,,
,,S09,T02,卧室：睡前放松,9,analysis/approach-comparison/inputs/T02-bedroom.jpg,analysis/approach-comparison/blind-review/images/S09.png,低色温暖光；保持低照度，只适度抬升床侧与行走区域可见度。；以床头漫射光和低位间接光为主，不增加顶面强光。；光源不直视，控制枕部和床面高光。；设置睡前渐暗情景，支持低亮夜间模式。,,,,,,,,,,,
,,S10,T03,客厅：舒适休闲与层次,10,analysis/approach-comparison/inputs/T03-living-room.jpg,analysis/approach-comparison/blind-review/images/S10.png,暖中性色温；在不过曝的前提下略抬升沙发活动区亮度。；保留柜体层次光，增加柔和环境光并维持明暗层次。；避免柜体灯带出现刺眼亮线或大面积高光。；休闲模式联动柜体、环境与局部重点照明。,,,,,,,,,,,
,,S11,T01,书房：专注与视觉舒适,11,analysis/approach-comparison/inputs/T01-study.jpg,analysis/approach-comparison/blind-review/images/S11.png,中性偏暖白光，避免冷蓝压迫感；提高桌面与键盘区域可见度，同时保留背景较低亮度。；保留台灯作为任务光，补充柔和环境光形成两层照明。；限制灯罩高光与屏幕反射，避免裸露强光源。；工作模式一键联动任务光与低亮环境光。,,,,,,,,,,,
,,S12,T03,客厅：舒适休闲与层次,12,analysis/approach-comparison/inputs/T03-living-room.jpg,analysis/approach-comparison/blind-review/images/S12.png,暖白至柔和中性暖白；适度提高沙发活动区环境亮度，压低过亮灯带与暗背景的反差。；以现有层板灯形成连续纵深节奏，通过柔和反射少量照亮沙发。；限制灯带亮边与过曝，减少柜体反光。；沙发区环境光与柜体层板灯分路调光，并设置低亮度休闲场景。,,,,,,,,,,,
